Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
19,2030,2730.7854,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,856490449.251774,777893560.4754248
20,2030,2564.371,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,804295815.34976,730488630.6957425
21,2030,2440.5293,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,765453790.9017375,695210991.9078944
22,2030,2241.7563,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,703110123.7394906,638588367.2606475
23,2030,1241.9336,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,389523199.8108943,353778129.1704804
24,2030,2581.0034,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,809512443.4114654,735226548.5325859
25,2030,2237.3096,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,701715449.4891127,637321676.9907472
1,2031,26211.424,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,8740018181.336376,7550969126.433527
3,2031,3692.0696,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,1231095091.619567,1063608889.0952197
4,2031,2756.5596,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,919155747.5830892,794107807.1444708
5,2031,4526.6763,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,1509388927.630352,1304041817.2876968
6,2031,3789.5913,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,1263613028.496054,1091702873.8347483
7,2031,2058.6738,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,686450550.7766707,593061342.4588298
8,2031,2155.446,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,718718572.0580753,620939411.7501833
9,2031,476.9462,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,159034414.13634357,137398335.59480745
10,2031,1492.824,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,497771845.6477334,430051718.48729026
12,2031,12877.1045,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,4293781499.7372313,3709627470.7302523
13,2031,3046.8289,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,1015944039.5692012,877728388.8668324
14,2031,17724.65,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,5910162044.527753,5106105068.035984
17,2031,2596.739,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,865864673.0595499,748066797.83616
18,2031,3016.814,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,1005935778.6021131,869081716.9716698
19,2031,2737.608,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,912836467.5407149,788648243.1583052
20,2031,2575.9673,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,858938493.2511859,742082900.6849201
21,2031,2452.2852,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,817697551.7935275,706452645.7780342
22,2031,2259.5098,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,753417926.9660326,650918040.1901854
23,2031,1251.6902,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,417367446.553097,360586058.0508486
24,2031,2598.9304,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,866595380.244424,748698094.8516775
25,2031,2250.2163,163824.77070689204,169618.31812858582,148606.65645051005,139472.6606607437,750319073.6199403,648240775.0566121
1,2032,26166.107,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,9420478403.273289,7619950784.376832
3,2032,3737.6697,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,1345658209.2024217,1088463758.1836884
4,2032,2775.9343,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,999408476.0891467,808392427.1449151
5,2032,4559.2666,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,1641454441.047162,1327724720.5651605
6,2032,3820.317,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,1375413384.65664,1112531853.5431406
7,2032,2061.155,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,742069355.7241342,600238302.8920668
8,2032,2159.7832,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,777578070.4157662,628960268.6759595
9,2032,477.7356,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,171997229.17416817,139123552.46215025
10,2032,1498.9386,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,539656843.4552644,436512713.2134219
12,2032,12986.428,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,4675451510.981879,3781836641.761545
13,2032,3073.7842,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,1106642179.2291327,895130648.4298606
14,2032,17958.834,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,6465646870.777148,5229873562.192241
17,2032,2620.6812,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,943513326.0925795,763180467.2182078
18,2032,3034.4092,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,1092466156.1344903,883664075.9613296
