Region,Age,Year,MortalityCoefficient
8,7,2023,0.0
8,8,2000,0.0
8,8,2001,0.00014878738282993602
8,8,2002,0.00014695077149155033
8,8,2003,0.00043109642189969824
8,8,2004,0.0
8,8,2005,0.0
8,8,2006,0.0
8,8,2007,0.0
8,8,2008,0.0
8,8,2009,0.0
8,8,2010,0.0001271294177472667
8,8,2011,0.0001273723092599669
8,8,2012,0.0
8,8,2013,0.0001416029453412631
8,8,2014,0.0
8,8,2015,0.0
8,8,2016,0.0
8,8,2017,0.0
8,8,2018,0.0
8,8,2019,0.0
8,8,2020,0.0
8,8,2021,0.00015213753232922562
8,8,2022,0.0
8,8,2023,0.00015067048365225252
8,9,2000,0.0
8,9,2001,0.0
8,9,2002,0.0
8,9,2003,0.0
8,9,2004,0.000332944897619444
8,9,2005,0.0
8,9,2006,0.0
8,9,2007,0.00014654161781946072
8,9,2008,0.0
8,9,2009,0.0
8,9,2010,0.0
8,9,2011,0.00013349352556401014
8,9,2012,0.00013618412093149938
8,9,2013,0.0
8,9,2014,0.0
8,9,2015,0.0
8,9,2016,0.0
8,9,2017,0.00017385257301808066
8,9,2018,0.0
8,9,2019,0.0
8,9,2020,0.0
8,9,2021,0.0
8,9,2022,0.0
8,9,2023,0.0
8,10,2000,0.0
8,10,2001,0.0
8,10,2002,0.0
8,10,2003,0.00015121729925903524
8,10,2004,0.00015318627450980392
8,10,2005,0.0
8,10,2006,0.0001515610791148833
8,10,2007,0.0
8,10,2008,0.0
8,10,2009,0.0
8,10,2010,0.0
8,10,2011,0.0
8,10,2012,0.0
8,10,2013,0.0
8,10,2014,0.0
8,10,2015,0.0
8,10,2016,0.0
8,10,2017,0.00012807377049180329
8,10,2018,0.0
8,10,2019,0.0
8,10,2020,0.0
8,10,2021,0.0
8,10,2022,0.0
8,10,2023,0.0
8,11,2000,0.00013674278681799536
8,11,2001,0.000141622999575131
8,11,2002,0.0
8,11,2003,0.0
8,11,2004,0.0
8,11,2005,0.0
8,11,2006,0.00015267175572519084
8,11,2007,0.0
8,11,2008,0.0001501726986033939
8,11,2009,0.0
8,11,2010,0.0
8,11,2011,0.0
8,11,2012,0.0
8,11,2013,0.0
8,11,2014,0.0
8,11,2015,0.0
8,11,2016,0.0
8,11,2017,0.0
8,11,2018,0.0
8,11,2019,0.0
8,11,2020,0.0
8,11,2021,0.0
8,11,2022,0.00013896609227348526
8,11,2023,0.0
8,12,2000,0.0001577287066246057
8,12,2001,0.00016661112962345885
8,12,2002,0.0
8,12,2003,0.0
8,12,2004,0.0
8,12,2005,0.0
8,12,2006,0.0
8,12,2007,0.0
8,12,2008,0.0
8,12,2009,0.0
8,12,2010,0.0
8,12,2011,0.0
8,12,2012,0.0
8,12,2013,0.0
8,12,2014,0.00014858841010401187
8,12,2015,0.0
8,12,2016,0.0
8,12,2017,0.0
8,12,2018,0.0
8,12,2019,0.0
8,12,2020,0.0
8,12,2021,0.0002835270768358378
8,12,2022,0.0
8,12,2023,0.0
8,13,2000,0.00011465260261407934
8,13,2001,0.00011155734047300312
