Region,Year,Predicted_Births_ARIMA,Predicted_Births_SARIMA
24,2026,2425.8726547566657,2363.4832193253974
24,2027,2444.7526580112944,2304.747808708956
24,2028,2462.3821464230577,2445.379105870225
24,2029,2478.843947698664,2404.818395753088
24,2030,2494.2154034612,2299.211614744649
24,2031,2508.5687326202465,2270.0383613480403
24,2032,2521.9713706742205,2200.7179409957585
24,2033,2534.486286539061,2165.392653116954
24,2034,2546.1722783918067,2211.904800922291
24,2035,2557.084249919006,2119.9031788133348
25,2025,1986.657398809024,1972.392828230469
25,2026,1955.7270817983729,2007.052447715068
25,2027,1935.08334394609,1986.2560341098624
25,2028,1921.3051498083769,1987.8458233269355
25,2029,1912.109206948856,2030.3558138283445
25,2030,1905.9715836703376,1838.09372619931
25,2031,1901.87516636061,1781.33263503657
25,2032,1899.1411056315703,1644.9331873141766
25,2033,1897.3163188716069,1605.1710845543575
25,2034,1896.0984063783064,1574.9664428107144
25,2035,1895.285538335924,1598.5709252694992
